"Image","AN","CA","DI","FE","HA","NE","SA","SCRAM"
"36M_SA_O.BMP",0,0,0,0,0,0,1,0
"person02_scram.bmp",0,0,0,0,0,0,0,1
"person02_scram.bmp",0,0,0,0,0,0,0,1
"person02_scram.bmp",0,0,0,0,0,0,0,1
"person05_scram.bmp",0,0,0,0,0,0,0,1
"person05_scram.bmp",0,0,0,0,0,0,0,1
"person05_scram.bmp",0,0,0,0,0,0,0,1
"person08_scram.bmp",0,0,0,0,0,0,0,1
"person09_scram.bmp",0,0,0,0,0,0,0,1
"person14_scram.bmp",0,0,0,0,0,0,0,1
"person14_scram.bmp",0,0,0,0,0,0,0,1
"person14_scram.bmp",0,0,0,0,0,0,0,1
"person14_scram.bmp",0,0,0,0,0,0,0,1
"person15_scram.bmp",0,0,0,0,0,0,0,1
"person17_scram.bmp",0,0,0,0,0,0,0,1
"person18_scram.bmp",0,0,0,0,0,0,0,1
"person18_scram.bmp",0,0,0,0,0,0,0,1
"person20_scram.bmp",0,0,0,0,0,0,0,1
"person20_scram.bmp",0,0,0,0,0,0,0,1
"person21_scram.bmp",0,0,0,0,0,0,0,1
"person22_scram.bmp",0,0,0,0,0,0,0,1
"person23_scram.bmp",0,0,0,0,0,0,0,1
"person23_scram.bmp",0,0,0,0,0,0,0,1
"person24_scram.bmp",0,0,0,0,0,0,0,1
"person24_scram.bmp",0,0,0,0,0,0,0,1
"person24_scram.bmp",0,0,0,0,0,0,0,1
"person26_scram.bmp",0,0,0,0,0,0,0,1
"person26_scram.bmp",0,0,0,0,0,0,0,1
"person29_scram.bmp",0,0,0,0,0,0,0,1
"person29_scram.bmp",0,0,0,0,0,0,0,1
"person31_scram.bmp",0,0,0,0,0,0,0,1
"person32_scram.bmp",0,0,0,0,0,0,0,1
"person34_scram.bmp",0,0,0,0,0,0,0,1
"person35_scram.bmp",0,0,0,0,0,0,0,1
"person35_scram.bmp",0,0,0,0,0,0,0,1
"person35_scram.bmp",0,0,0,0,0,0,0,1
"person36_scram.bmp",0,0,0,0,0,0,0,1
"person37_scram.bmp",0,0,0,0,0,0,0,1
"person37_scram.bmp",0,0,0,0,0,0,0,1
"person38_scram.bmp",0,0,0,0,0,0,0,1
"person38_scram.bmp",0,0,0,0,0,0,0,1
"person38_scram.bmp",0,0,0,0,0,0,0,1
"person38_scram.bmp",0,0,0,0,0,0,0,1
"person39_scram.bmp",0,0,0,0,0,0,0,1
"person40_scram.bmp",0,0,0,0,0,0,0,1
"person41_scram.bmp",0,0,0,0,0,0,0,1
"person41_scram.bmp",0,0,0,0,0,0,0,1
"person41_scram.bmp",0,0,0,0,0,0,0,1
"person43_scram.bmp",0,0,0,0,0,0,0,1
